uid,night_duration,bedtime_early
u00,361.647222222,5.33333333333
u01,421.995238095,5.91428571429
u02,428.346296296,5.7962962963
u03,469.173076923,6.07692307692
u04,417.59117647,5.07843137255
u05,451.678205128,5.66666666667
u07,452.329166667,6.925
u08,350.504644809,8.5737704918
u09,502.914285714,5.57142857143
u10,427.941481481,4.66666666667
u12,467.779666667,4.28
u13,440.836231884,6.02173913043
u14,406.429861111,5.85416666667
u15,458.003333333,5.9
u16,452.577777778,5.42857142857
u17,372.85106383,6.21276595745
u18,474.776190476,5.2380952381
u19,478.411111111,6.03703703704
u20,465.878571429,6.21428571429
u22,412.676666667,5.575
u23,447.890384615,3.57692307692
u24,437.020833333,5.625
u25,489.455555556,3.66666666667
u27,444.091666667,6.66666666667
u30,466.454954955,5.89189189189
u31,331.615789474,7.02631578947
u32,440.705555556,5.35897435897
u33,398.853546099,6.42553191489
u34,380.797619048,5.28571428571
u35,356.8,3.8
u36,439.201169591,6.64912280702
u39,564.733333333,6.0
u41,545.935714286,7.0
u42,377.35617284,6.96296296296
u43,503.046153846,5.57692307692
u44,495.956666667,5.33333333333
u45,473.861764706,6.17647058824
u46,325.250694444,8.22916666667
u47,443.874074074,6.55555555556
u49,343.483333333,6.0
u50,412.948550725,6.95652173913
u51,424.977586207,5.37931034483
u52,359.260130719,5.3137254902
u53,397.849305556,7.125
u54,347.736111111,7.05555555556
u56,481.925490196,4.17647058824
u57,403.415873016,6.5873015873
u58,470.857333333,5.52
u59,357.486956522,7.60869565217
