uid,duration
u00,784.261193108
u01,816.785620341
u02,1005.26152841
u03,557.059714182
u04,562.329066889
u05,677.362574299
u07,577.655367375
u08,611.924866794
u09,770.038516183
u10,540.248056339
u12,768.256875722
u13,448.401233029
u14,904.579280663
u15,741.072309704
u16,631.337842625
u17,675.28008234
u18,721.490301911
u19,584.817117588
u20,475.366703064
u22,629.971600291
u23,477.0890086
u24,789.991706299
u25,977.812695112
u27,465.319925328
u30,1048.05108779
u31,499.700819067
u32,904.418803493
u33,1152.06954764
u34,692.371718665
u35,504.066706253
u36,435.157431111
u39,243.55129497
u41,692.8037024
u42,618.280678686
u43,613.630235248
u44,467.46869054
u45,741.670785986
u46,805.939708398
u47,408.85514646
u49,490.549241407
u50,416.013918695
u51,455.478320649
u52,434.608224644
u53,618.534472905
u54,639.515386422
u56,549.895524165
u57,701.180692576
u58,911.335636281
u59,430.626578064
