uid,start,end,duration
u00,1366812545,1366822141,9595.92391304
u01,1366850625,1366862759,12134.0682927
u02,1367109407,1367120796,11389.0695187
u03,1366235519,1366249538,14019.7301587
u04,1366869828,1366881665,11836.7126866
u05,1366731113,1366744156,13043.0882353
u07,1366367136,1366380790,13653.8092105
u08,1367039169,1367049550,10381.009434
u09,1367390233,1367401332,11098.7539267
u10,1366863818,1366874911,11093.2442396
u12,1367111194,1367121929,10734.401487
u13,1367211069,1367225664,14594.8157895
u14,1366385975,1366399666,13691.3265306
u15,1366093156,1366107489,14333.2857143
u16,1366835137,1366845701,10564.4355828
u17,1366879412,1366891493,12080.7099567
u18,1366269083,1366280901,11817.92
u19,1367223532,1367237284,13752.3296089
u20,1366298450,1366310915,12465.3736264
u22,1366717488,1366729360,11872.2268041
u23,1366800584,1366814201,13616.7853403
u24,1365633777,1365643684,9906.14285714
u25,1365796432,1365805889,9456.25773196
u27,1367191608,1367201054,9446.00961538
u30,1366726471,1366738864,12392.3298429
u31,1367295369,1367305327,9958.11
u32,1367060221,1367072936,12715.1206897
u33,1366754564,1366767209,12645.3555556
u34,1366229198,1366240407,11209.5294118
u35,1366568935,1366581516,12580.6170213
u36,1367276406,1367287387,10981.0286885
u39,1365507930,1365525371,17440.75
u41,1366724740,1366736257,11516.9315068
u42,1366813963,1366828494,14530.7708333
u43,1366895062,1366907359,12297.057554
u44,1366870621,1366882718,12096.1904762
u45,1367192091,1367206634,14543.4782609
u46,1366863349,1366873403,10053.7682927
u47,1367372897,1367385917,13019.7391304
u49,1369157655,1369167859,10203.9104478
u50,1366252189,1366265751,13562.1129032
u51,1367075123,1367086025,10901.8798077
u52,1366928727,1366939202,10474.9330144
u53,1366540726,1366554225,13498.8790323
u54,1366328726,1366338618,9892.39072848
u56,1366619730,1366632643,12912.8878505
u57,1367028456,1367039485,11029.4034335
u58,1366923789,1366935079,11290.0913978
u59,1366848599,1366859267,10667.4
