uid,duration
u00,875.859052248
u01,645.482014388
u02,903.682151589
u03,719.236453202
u04,569.807250221
u05,840.25862069
u07,816.749226006
u08,711.949561404
u09,783.584302326
u10,734.26744186
u12,860.027417027
u13,419.317073171
u14,1011.75
u15,1034.2211838
u16,578.526960784
u17,791.519195612
u18,1013.36713287
u19,843.973029046
u20,507.638225256
u22,546.72611465
u23,509.721649485
u24,769.092783505
u25,1141.03956835
u27,994.173758865
u30,945.277864992
u31,473.471760797
u32,708.958571429
u33,908.530821918
u34,723.801801802
u35,577.638888889
u36,386.054368932
u39,201.451923077
u41,892.046979866
u42,760.783898305
u43,672.794776119
u44,566.47099768
u45,789.370229008
u46,652.408163265
u47,405.119205298
u49,612.461760462
u50,600.397260274
u51,596.906403941
u52,246.555555556
u53,656.61682243
u54,686.169971671
u56,361.959183673
u57,541.682196339
u58,735.349173554
u59,491.523861171
