uid,happy_responses,sad_responses,happiness_level,sadness_level
u00,5.0,4.0,1.5,1.5
u01,2.0,2.0,2.0,1.0
u02,0.0,1.0,1.0,1.0
u03,0.0,1.0,1.0,1.0
u04,4.0,3.0,1.75,1.75
u07,1.0,1.0,1.0,2.0
u08,6.0,7.0,1.0,2.0
u10,4.0,0.0,1.33333333333,1.0
u12,1.0,0.0,1.0,1.0
u14,1.0,0.0,2.0,1.0
u16,19.0,17.0,2.04761904762,1.61904761905
u17,3.0,10.0,1.1,3.2
u18,1.0,1.0,1.0,2.0
u19,23.0,16.0,1.79166666667,1.20833333333
u22,4.0,0.0,1.0,1.0
u23,,,1.0,1.0
u24,2.0,1.0,1.5,1.5
u27,2.0,2.0,1.0,1.0
u30,1.0,0.0,3.0,1.0
u32,3.0,2.0,2.33333333333,1.0
u33,4.0,6.0,1.57142857143,3.0
u35,2.0,0.0,1.0,1.0
u36,2.0,1.0,1.25,1.0
u42,4.0,0.0,2.25,1.0
u43,1.0,1.0,2.0,1.0
u44,4.0,1.0,1.75,1.0
u45,1.0,0.0,1.0,1.0
u46,2.0,2.0,2.0,1.0
u47,2.0,0.0,3.0,1.0
u49,16.0,4.0,2.23529411765,1.11764705882
u50,1.0,0.0,2.0,1.0
u51,6.0,2.0,1.0,1.125
u52,1.0,2.0,2.0,2.5
u53,2.0,1.0,1.66666666667,1.0
u56,3.0,0.0,2.0,1.0
u57,6.0,5.0,2.5,1.16666666667
u58,13.0,9.0,2.11764705882,1.05882352941
u59,77.0,40.0,2.19277108434,1.25301204819
