uid,duration
u00,9822.14211553
u01,14877.4367772
u02,11733.5287946
u03,15835.158208
u04,15903.6796104
u05,14418.3565934
u07,17102.3767007
u08,9429.228156
u09,15917.1131961
u10,9834.37853535
u12,10329.6629649
u13,10878.9164857
u14,11734.2109023
u15,14961.4827381
u16,11304.038058
u17,13681.507377
u18,12298.9275238
u19,12102.4160652
u20,13695.1031532
u22,12134.1192565
u23,11201.2566502
u24,11616.3411508
u25,12775.0598039
u27,11862.6718391
u30,14477.6289617
u31,8119.46272321
u32,13162.6319841
u33,10952.8946623
u34,12213.5958333
u35,13133.8636364
u36,10217.4989927
u39,11924.6428571
u41,14870.0344086
u42,12759.9241855
u43,13521.8400476
u44,11941.6613095
u45,10358.3632187
u46,9944.41834734
u47,12433.3503608
u49,8375.21464475
u50,11874.9867997
u51,12474.3331929
u52,9304.77801959
u53,13031.7141243
u54,9204.71095238
u56,14462.5225926
u57,9312.47068376
u58,12365.6871945
u59,10987.3155738
