uid,duration
u00,14838.68
u01,22644.9772727
u02,14817.8
u03,20112.2340426
u04,23650.1833333
u05,15222.0277778
u07,18623.875
u08,12210.7570093
u09,18094.1971831
u10,9573.34117647
u12,19890.6382979
u13,8909.79381443
u14,15722.0
u15,10845.5333333
u16,13092.5121951
u17,13266.4814815
u18,12938.0857143
u19,8492.15238095
u20,14903.7058824
u22,13271.9491525
u23,12769.8188406
u24,18863.5
u25,8953.35714286
u27,13034.6849315
u30,18880.7878788
u31,9567.85840708
u32,17860.5194805
u33,18050.7647059
u34,11849.4074074
u35,14591.7857143
u36,18465.0952381
u39,22789.0
u41,12898.7115385
u42,16639.0
u43,12192.9710145
u44,10634.0
u45,11594.245614
u46,16642.2028986
u47,11525.3728814
u49,9844.87755102
u50,13540.1851852
u51,23949.3090909
u52,13734.5757576
u53,14553.3469388
u54,10801.6969697
u56,16679.1025641
u57,15452.2844037
u58,20298.3166667
u59,11456.7207792
