uid,duration
u00,15895.0433333
u01,23826.8205128
u02,17034.4867725
u03,21043.7983871
u04,24668.8037037
u05,16004.9793651
u07,20470.8202381
u08,13804.7433333
u09,18922.1904762
u10,10078.3946541
u12,21672.2182099
u13,9392.50942029
u14,17798.6742424
u15,11712.4236111
u16,12993.8784722
u17,13280.3107407
u18,13250.9305556
u19,8904.14444444
u20,15293.0909091
u22,13277.2878788
u23,14314.7287037
u24,19670.9824561
u25,9607.19166667
u27,14105.5398374
u30,19672.578125
u31,10798.7581761
u32,20533.7142857
u33,19517.2810078
u34,12193.2192982
u35,15359.625
u36,19553.4183007
u39,22789.0
u41,14282.0804598
u42,16850.2430556
u43,12931.3595238
u44,10898.1829268
u45,11789.7047619
u46,19082.251773
u47,11149.412037
u49,9840.68250729
u50,14283.8863636
u51,25087.5106383
u52,14004.6530612
u53,15453.754955
u54,11602.7601626
u56,18188.4712644
u57,16828.2555556
u58,20893.2790698
u59,12446.4270833
