uid,duration
u00,9457.80530973
u01,14280.3564815
u02,10340.1089744
u03,14850.0392157
u04,14496.5518672
u05,13357.5444444
u07,15476.0718954
u08,8540.22463768
u09,14803.7442922
u10,9943.0166113
u12,9373.5339233
u13,10137.3401015
u14,11295.1382488
u15,15342.6896552
u16,10656.0371901
u17,13126.231441
u18,12377.0
u19,11370.4724409
u20,12518.5363636
u22,11841.6132075
u23,10393.1635514
u24,11099.8492063
u25,12007.9807692
u27,11037.6122449
u30,13422.5720339
u31,7803.51442308
u32,12776.622807
u33,10328.3064516
u34,13038.45
u35,12577.9711538
u36,9684.88288288
u39,10640.6923077
u41,14247.6617647
u42,12092.7653061
u43,12356.6790123
u44,11237.7955556
u45,10126.0706522
u46,9354.07317073
u47,11501.1058824
u49,8215.4265233
u50,11658.3762376
u51,12287.4651899
u52,9335.05063291
u53,12065.8962656
u54,8722.34545455
u56,13267.3941606
u57,8686.99657534
u58,12035.7443609
u59,10468.0896552
