uid,people_interacted_with
u00,2.95454545455
u01,3.5
u02,2.8
u03,1.55
u04,3.07407407407
u05,4.33333333333
u07,3.25
u08,2.76744186047
u09,3.0
u10,3.13333333333
u12,2.05555555556
u14,3.23076923077
u15,4.4
u16,3.025
u17,2.45161290323
u18,1.95454545455
u19,3.48717948718
u20,2.42857142857
u22,2.48275862069
u23,1.125
u24,4.08
u25,3.07142857143
u27,2.125
u30,3.76470588235
u31,1.55555555556
u32,4.21428571429
u33,3.90625
u34,3.8
u35,2.31818181818
u36,2.125
u39,1.0
u41,3.42857142857
u42,2.46666666667
u43,3.11363636364
u44,2.10344827586
u45,2.86666666667
u46,3.76470588235
u47,3.17647058824
u49,3.42424242424
u50,1.42857142857
u51,1.69696969697
u52,2.53846153846
u53,2.90322580645
u54,2.72727272727
u56,2.5
u57,4.44444444444
u58,1.95348837209
u59,4.24050632911
