uid,duration
u00,960.322710392
u01,864.618208792
u02,946.995189078
u03,863.398992137
u04,591.919527348
u05,931.557717513
u07,864.309385445
u08,654.611628649
u09,832.881356986
u10,818.94700521
u12,861.971569486
u13,435.686489377
u14,1169.24452394
u15,1186.2746992
u16,611.913072739
u17,899.282132968
u18,981.131178389
u19,875.000899061
u20,658.801260766
u22,726.855205026
u23,543.489253214
u24,775.72520202
u25,1131.75455731
u27,1018.60654718
u30,1059.27138864
u31,489.797681815
u32,782.466932903
u33,845.749396311
u34,635.996115404
u35,532.481413136
u36,373.965592363
u39,173.289406019
u41,858.760781084
u42,810.389144665
u43,672.703133612
u44,627.092077001
u45,799.091027722
u46,693.029840479
u47,390.210882636
u49,611.410752104
u50,590.030534941
u51,604.009322703
u52,222.645988846
u53,950.657649235
u54,832.995529466
u56,340.903125596
u57,649.994872565
u58,825.487135922
u59,500.21160875
